,type,Bathrooms,rooms_available,Electricity,Internet,cluster
534,2,0.125,0.3076923076923077,0,0,2
535,2,0.125,0.23076923076923078,0,1,2
536,3,0.125,0.38461538461538464,0,1,1
537,1,0.0,0.0,1,1,3
538,1,0.0,0.0,1,1,3
539,1,0.0,0.0,1,1,3
540,1,0.0,0.0,1,1,3
541,2,0.125,0.38461538461538464,1,1,3
543,2,0.0,0.15384615384615385,1,1,3
544,2,0.125,0.23076923076923078,1,1,3
545,2,0.125,0.3076923076923077,1,1,3
546,2,0.125,0.15384615384615385,1,1,3
547,2,0.125,0.23076923076923078,1,1,3
549,3,0.125,0.23076923076923078,1,1,1
551,1,0.0,0.0,0,0,2
552,1,0.0,0.0,0,0,2
554,3,0.25,0.4615384615384616,1,1,1
555,3,0.0,0.23076923076923078,1,1,1
556,3,0.0,0.23076923076923078,1,1,1
557,3,0.0,0.23076923076923078,1,1,1
558,3,0.25,0.4615384615384616,1,1,1
559,3,0.0,0.23076923076923078,1,1,1
560,3,0.0,0.23076923076923078,1,1,1
561,3,0.0,0.23076923076923078,1,1,1
562,3,0.0,0.23076923076923078,1,1,1
563,3,0.0,0.23076923076923078,1,1,1
564,3,0.125,0.3076923076923077,1,1,1
565,3,0.0,0.23076923076923078,1,1,1
566,3,0.0,0.3076923076923077,0,0,0
567,3,0.0,0.23076923076923078,0,0,0
568,3,0.0,0.23076923076923078,1,1,1
569,3,0.0,0.07692307692307693,0,0,0
571,3,0.0,0.23076923076923078,1,1,1
572,3,0.0,0.0,0,0,0
573,3,0.0,0.0,0,0,0
574,2,0.0,0.0,0,0,2
575,2,0.0,0.0,0,0,2
577,2,0.0,0.0,0,0,2
578,2,0.0,0.0,0,0,2
579,3,0.0,0.07692307692307693,0,0,0
581,3,0.0,0.23076923076923078,0,0,0
582,3,0.0,0.23076923076923078,0,0,0
583,3,0.0,0.38461538461538464,0,0,0
584,3,0.0,0.3076923076923077,0,0,0
585,3,0.25,0.38461538461538464,0,0,0
586,2,0.0,0.07692307692307693,0,0,2
587,3,0.125,0.5384615384615385,0,0,0
588,3,0.0,0.23076923076923078,1,1,1
589,3,0.0,0.15384615384615385,1,1,1
591,3,0.0,0.07692307692307693,0,0,0
592,2,0.125,0.07692307692307693,0,0,2
593,3,0.0,0.0,1,1,1
596,3,0.25,0.4615384615384616,0,0,0
597,3,0.0,0.07692307692307693,0,0,0
599,2,0.0,0.0,0,0,2
600,3,0.25,0.23076923076923078,0,0,0
601,3,0.0,0.15384615384615385,0,0,0
602,3,0.125,0.5384615384615385,0,0,0
603,3,0.0,0.23076923076923078,0,0,0
604,3,0.0,0.23076923076923078,0,0,0
605,3,0.0,0.4615384615384616,0,0,0
606,3,0.125,0.23076923076923078,0,0,0
607,3,0.125,0.3076923076923077,0,0,0
608,3,0.125,0.23076923076923078,0,0,0
609,3,0.0,0.23076923076923078,0,0,0
610,3,0.0,0.23076923076923078,0,0,0
611,3,0.25,0.5384615384615385,0,0,0
612,3,0.0,0.3076923076923077,0,0,0
613,3,0.0,0.6153846153846154,0,0,0
614,3,0.0,0.23076923076923078,0,0,0
615,3,0.0,0.15384615384615385,0,0,0
616,1,0.0,0.0,0,0,2
617,1,0.0,0.0,0,0,2
618,1,0.0,0.0,0,0,2
619,2,0.0,0.15384615384615385,0,0,2
620,2,0.0,0.15384615384615385,0,0,2
621,2,0.0,0.23076923076923078,0,0,2
622,2,0.125,0.3076923076923077,0,0,2
623,3,0.0,0.23076923076923078,0,0,0
624,3,0.125,0.38461538461538464,1,1,1
625,2,0.0,0.07692307692307693,0,0,2
626,3,0.0,0.23076923076923078,0,1,1
628,3,0.125,0.3076923076923077,0,0,0
629,1,0.0,0.0,0,0,2
630,2,0.0,0.0,0,0,2
631,2,0.0,0.0,0,0,2
632,2,0.0,0.0,0,0,2
647,3,0.0,0.0,0,0,0
648,3,0.0,0.0,0,0,0
649,3,0.0,0.23076923076923078,0,0,0
650,3,0.125,0.23076923076923078,0,0,0
651,3,0.0,0.23076923076923078,0,0,0
652,3,0.0,0.23076923076923078,0,0,0
653,2,0.0,0.07692307692307693,0,0,2
654,2,0.25,0.23076923076923078,0,0,2
656,3,0.125,0.07692307692307693,1,1,1
657,3,0.125,0.38461538461538464,0,0,0
658,3,0.125,0.23076923076923078,0,1,1
659,3,0.25,0.5384615384615385,1,1,1
660,3,0.125,0.3076923076923077,1,1,1
661,3,0.125,0.23076923076923078,1,1,1
664,2,0.0,0.0,1,1,3
665,2,0.25,0.15384615384615385,1,1,3
666,3,0.125,0.23076923076923078,1,1,1
667,3,0.0,0.07692307692307693,0,1,1
668,3,0.125,0.38461538461538464,0,0,0
